CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-11 00:00,7.2,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-12 00:00,6.15,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-13 00:00,4.65,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-14 00:00,4.1,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-15 00:00,4.62,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-18 00:00,3.34,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-19 00:00,3.34,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-20 00:00,3.6,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-21 00:00,2.5,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-22 00:00,10.47,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-23 00:00,5.72,4,EST. OTROS METODOS,900
